init_error,snr_db,method,mc_idx,seed,mf_grid_points,mf_search_half_range,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.2,15.0,proposed_no_update,9,9020,41,1.7,0.13283488154411316,0.2035750924415959,0.2035750924415959,0.9999999995087807,0.35546875
0.2,15.0,proposed,9,9020,41,1.7,0.10904745012521744,0.2035750924415959,0.0201083726394385,10.123896900037295,1.0
0.2,15.0,oracle_sync,9,9020,41,1.7,0.10874227434396744,0.2035750924415959,0.0,2035750924.4159591,1.0
0.3,15.0,naive_slice,0,30,41,1.7,0.5048970580101013,0.2757641506305912,0.2757641506305912,0.9999999996373713,0.29296875
0.3,15.0,adjoint_lmmse,0,30,41,1.7,0.1499633938074112,0.2757641506305912,0.2757641506305912,0.9999999996373713,0.29296875
0.3,15.0,adjoint_slice,0,30,41,1.7,0.1499633938074112,0.2757641506305912,0.2757641506305912,0.9999999996373713,0.29296875
0.3,15.0,matched_filter,0,30,41,1.7,0.09860026836395264,0.2757641506305912,0.031680704727458715,8.704482811619053,0.99609375
0.3,15.0,proposed_no_update,0,30,41,1.7,0.1507568508386612,0.2757641506305912,0.2757641506305912,0.9999999996373713,0.29296875
0.3,15.0,proposed,0,30,41,1.7,0.0997111052274704,0.2757641506305912,0.027926891021661075,9.874502300640934,0.9921875
0.3,15.0,oracle_sync,0,30,41,1.7,0.09941203147172928,0.2757641506305912,0.0,2757641506.3059115,1.0
0.3,15.0,naive_slice,1,1030,41,1.7,0.4984680414199829,0.2854768330494944,0.2854768330494944,0.9999999996497089,0.3125
0.3,15.0,adjoint_lmmse,1,1030,41,1.7,0.15870971977710724,0.2854768330494944,0.2854768330494944,0.9999999996497089,0.3125
